"revisor";"ano";"artigo";"PR";"DIST";"COR";"VAR";"HIST";"MEAN";"MODE";"QTLE";"SD";"UN";"OUT";"CV";"SKEW";"KURT";"DVIZ";"VRBL";"EXP";"RND";"SMP";"MC";"PCA";"REG";"BW";"BPS";"OBERR";"EFF";"MTTF";"MTTR";"FLOPS";"IPS";"IOPS";"NNOPS";"TPUT";"TIME";"RPS";"PPS";"TPS";"UTIL";"AVAIL";"UPDWT";"LAT";"SPDU";"HT";"TTST";"CST";"FISH";"HKDT";"LEVE";"BART";"SWT";"KSTST";"FTST";"WSRT";"ANOVA";"ZTST";"THSD";"UTST";"KWTST";"HYPT";"SL";"CI";"PVAL"
"Gustavo";2000;"20687-73-16660-1-10-20220717.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Gustavo";2005;"18969-73-15196-2-10-20220302.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;9;0;0;0;0;0;0;1;1;2;0;0;0;0;0;0;0;5;0;0;0;3;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Gustavo";2005;"18972-73-15199-2-10-20220302.txt";0;0;0;0;0;3;0;0;0;0;0;0;0;0;1;0;13;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;29;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Gustavo";2008;"17677-73-14189-1-10-20211022.txt";0;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;1;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Gustavo";2009;"17400-73-13972-1-10-20211004.txt";0;0;0;0;0;4;0;0;0;0;0;0;0;0;4;0;7;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;4;0;0;0;3;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Gustavo";2011;"17269-73-13860-1-10-20210922.txt";0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;6;1;3;0;0;0;8;0;6;0;0;0;0;0;0;0;0;3;0;0;0;1;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Gustavo";2013;"16784-73-13523-1-10-20210730.txt";0;0;0;0;0;2;0;0;0;0;0;0;0;0;5;0;9;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;19;0;0;0;3;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Gustavo";2017;"254-73-265-2003-2-20171017.txt";0;1;0;0;0;5;0;0;0;0;0;0;0;0;5;0;1;3;0;0;0;0;0;0;2;5;0;0;0;0;0;0;0;9;0;0;0;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Gustavo";2021;"18516-73-14907-1-10-20211220.txt";0;0;0;0;0;5;1;0;0;0;0;0;0;0;8;0;65;0;36;0;0;0;0;0;3;0;0;0;0;0;0;0;0;12;0;0;0;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Gustavo";2022;"21770.txt";0;0;0;0;7;2;0;0;0;0;0;0;0;0;1;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Rodrigo";2001;"19117-73-15270-1-10-20220315.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;8;0;0;0;0;0;0;1;1;3;0;0;0;0;0;0;0;18;0;0;0;6;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Rodrigo";2002;"20757-73-16731-1-10-20220720.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Rodrigo";2007;"18752-73-15071-1-10-20220203.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;18;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Rodrigo";2009;"17387-73-13959-1-10-20211004.txt";3;0;0;0;0;1;0;0;3;0;1;0;0;0;1;0;3;13;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;9;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Rodrigo";2010;"Simulation of the Foreground-Background Queue in Parallel Systems.txt";2;4;0;1;0;0;0;0;1;0;0;4;0;0;7;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"Rodrigo";2015;"14278-73-11175-1-10-20210317.txt";0;0;2;0;0;10;0;0;0;0;0;0;0;0;10;0;10;0;0;0;0;0;0;0;6;9;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"Rodrigo";2018;"A Methodology for Optimization of Interpreters.txt";0;0;2;0;0;9;0;0;0;0;1;0;0;0;3;0;6;3;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;3;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Rodrigo";2018;"Impact of Memory Approximation on Energy Efficiency.txt";13;0;0;0;0;4;0;0;0;0;0;0;0;0;3;0;8;0;1;0;0;0;0;0;2;4;0;0;0;1;0;0;0;5;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
"Rodrigo";2022;"21751.txt";0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Rodrigo";2022;"21765.txt";0;0;4;1;0;4;0;0;0;1;0;0;0;0;0;3;8;8;7;0;0;3;0;0;0;0;0;0;0;4;0;0;0;8;0;0;0;2;0;0;0;0;2;2;0;0;0;0;2;2;0;0;3;0;0;0;0;0;4;1;0;1
"Rogério";2004;"19007-73-15235-1-10-20220303.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;5;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Rogério";2004;"19012-73-15240-1-10-20220303.txt";3;0;0;0;0;12;0;0;0;0;0;0;0;0;9;0;3;9;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;7;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Rogério";2006;"18943-73-15169-1-10-20220224.txt";0;0;0;0;0;4;0;0;0;0;0;0;0;0;3;0;24;0;3;0;0;0;0;0;4;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Rogério";2008;"17664-73-14176-1-10-20211022.txt";0;0;0;0;0;6;0;0;0;0;0;0;0;0;1;0;11;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;4;0;0;0;1;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Rogério";2008;"17682-73-14194-1-10-20211022.txt";0;0;0;0;0;7;0;0;0;0;0;0;0;0;3;0;14;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Rogério";2012;"Performance Evaluation of Virtualization Technologies for Databases in HPC Environments.txt";0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;1;32;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"Rogério";2016;"14248-73-11145-1-10-20210312.txt";1;0;0;0;0;6;0;0;0;0;0;0;0;0;1;0;16;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Rogério";2016;"14256-73-11153-1-10-20210312.txt";0;1;0;0;0;2;3;0;2;0;0;0;0;0;2;0;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"Rogério";2020;"14061-73-11052-1-10-20210301.txt";0;0;0;0;0;9;0;0;0;0;0;3;0;0;1;0;6;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Rogério";2022;"21763.txt";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;12;0;0;0;7;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Thiago";2001;"19116-73-15269-1-10-20220315.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Thiago";2004;"18996-73-15224-1-10-20220303.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;1;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;7;0;0;0;3;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Thiago";2010;"A Proposal of Parallelization of Local Search Procedures Applied to the Minimum Cost Hop-and-Root Constrained Forest Problem.txt";0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;3;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Thiago";2012;"Improving the Quality of Service of Fault Detection in Distributed Platforms under Adverse Network Conditions.txt";8;0;0;0;0;11;0;0;1;0;0;0;0;0;2;0;7;4;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;14;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Thiago";2014;"14995-73-11833-1-10-20210504.txt";0;1;0;0;0;29;0;0;6;0;0;0;4;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43;0;0;0;0;1;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Thiago";2015;"14276-73-11173-1-10-20210317.txt";0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;5;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Thiago";2016;"14258-73-11155-1-10-20210312.txt";0;0;1;4;0;0;0;0;0;0;0;0;0;0;10;1;38;0;0;0;0;19;2;0;0;1;0;0;1;0;0;0;0;0;0;0;0;5;1;0;0;0;0;0;0;0;7;0;0;0;0;2;0;4;0;0;0;0;0;0;1;0
"Thiago";2016;"14265-73-11162-1-10-20210312.txt";0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;2;0;0;0;58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Thiago";2018;"Performance and Energy Efficiency Evaluation for HPC Applications in Heterogeneous Architectures.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;55;0;2;0;0;0;1;1;0;18;0;0;0;0;0;0;0;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Thiago";2019;"8665-73-7061-1-10-20191108.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
