"artigo";"PR";"DIST";"COR";"VAR";"HIST";"MEAN";"MODE";"QTLE";"SD";"UN";"OUT";"CV";"SKEW";"KURT";"DVIZ";"VRBL";"EXP";"RND";"SMP";"MC";"PCA";"REG";"ano";"BW";"BPS";"OBERR";"EFF";"MTTF";"MTTR";"FLOPS";"IPS";"IOPS";"NNOPS";"TPUT";"TIME";"RPS";"PPS";"TPS";"UTIL";"AVAIL";"UPDWT";"LAT";"SPDU";"HT";"TTST";"CST";"FISH";"HKDT";"LEVE";"BART";"SWT";"KSTST";"FTST";"WSRT";"ANOVA";"ZTST";"THSD";"UTST";"KWTST";"HYPT";"SL";"CI";"PVAL"
"235-73-246-1984-2-20171017.txt";0;0;0;0;0;1;22;0;2;0;0;0;0;0;13;0;8;0;0;0;0;0;2017;0;0;0;1;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"236-73-247-1985-2-20171017.txt";0;0;0;0;0;2;0;0;3;0;0;0;0;0;0;0;3;0;0;0;0;0;2017;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"237-73-248-1986-2-20171017.txt";0;0;0;0;0;1;0;0;0;0;0;0;1;0;5;0;10;1;0;0;0;0;2017;0;0;0;0;0;0;0;0;0;0;1;6;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"238-73-249-1987-2-20171017.txt";0;0;0;0;0;4;0;0;1;0;0;0;0;0;1;0;16;0;0;0;0;0;2017;0;0;0;4;0;0;0;0;0;0;0;21;0;0;0;1;0;0;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"239-73-250-1988-2-20171017.txt";0;0;1;1;0;3;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;2017;3;0;0;4;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"240-73-251-1989-2-20171017.txt";0;0;0;0;0;7;0;0;0;0;0;8;0;0;1;0;11;1;0;0;0;0;2017;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"241-73-252-1990-2-20171017.txt";0;0;0;0;0;2;0;0;0;0;0;2;0;0;2;0;8;0;0;0;0;0;2017;0;0;1;0;0;0;0;0;0;0;0;7;0;0;0;3;0;0;0;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"242-73-253-1991-2-20171017.txt";0;0;0;0;0;8;0;0;0;0;0;0;0;0;2;0;8;0;10;0;0;0;2017;0;0;1;2;0;0;0;0;0;0;0;21;0;0;0;1;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"243-73-254-1992-2-20171017.txt";0;0;0;0;0;15;0;0;0;0;0;0;0;0;16;0;12;0;0;0;0;0;2017;0;0;0;1;0;0;0;0;0;0;3;8;0;0;0;1;1;0;2;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"244-73-255-1993-2-20171017.txt";0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;2017;0;0;3;4;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"245-73-256-1994-2-20171017.txt";0;0;0;0;0;5;0;0;1;0;0;0;0;0;2;0;21;2;1;0;0;0;2017;5;1;1;0;0;0;0;0;0;0;4;7;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"246-73-257-1995-2-20171017.txt";0;0;0;4;0;7;0;5;0;0;3;0;0;0;1;4;23;1;0;0;0;0;2017;0;0;0;3;0;0;0;0;0;0;2;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"247-73-258-1996-2-20171017.txt";0;0;1;0;0;1;0;0;0;0;0;0;0;0;5;0;4;1;0;0;0;0;2017;0;0;1;0;0;0;0;0;0;0;1;4;0;0;0;0;0;0;1;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"248-73-259-1997-2-20171017.txt";1;0;3;0;0;2;0;0;0;0;0;0;0;0;3;0;6;0;3;0;0;0;2017;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"249-73-260-1998-2-20171017.txt";0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2017;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"250-73-261-1999-2-20171017.txt";0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;10;2;0;0;0;0;2017;0;0;0;3;0;0;0;0;0;0;0;21;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"251-73-262-2000-2-20171017.txt";0;0;0;2;1;2;0;0;2;0;0;0;0;0;3;0;23;2;0;0;0;2;2017;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"252-73-263-2001-2-20171017.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;12;0;0;0;0;0;2017;1;0;0;0;0;0;0;0;0;0;0;15;3;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"253-73-264-2002-2-20171017.txt";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;2017;4;5;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"254-73-265-2003-2-20171017.txt";0;1;0;0;0;5;0;0;0;0;0;0;0;0;5;0;1;3;0;0;0;0;2017;0;0;2;5;0;0;0;0;0;0;0;9;0;0;0;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"255-73-266-2004-2-20171017.txt";0;0;0;0;0;8;0;0;0;0;0;0;0;0;1;0;20;0;0;0;0;0;2017;3;6;4;0;0;0;0;0;0;0;10;2;0;0;0;2;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"256-73-267-2005-2-20171017.txt";2;0;4;0;0;5;0;0;0;0;0;0;0;0;46;0;8;10;0;0;0;0;2017;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;2;0;1
"257-73-268-2006-2-20171017.txt";0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;2;2;0;0;0;0;2017;0;0;0;3;0;0;0;0;0;0;0;5;0;0;0;5;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"258-73-269-2007-2-20171017.txt";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;0;36;0;0;0;2017;0;0;3;2;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"259-73-270-2030-2-20171017.txt";0;0;0;0;0;3;0;0;0;0;0;0;0;0;3;0;25;2;2;0;0;3;2017;1;0;5;0;0;0;0;0;0;0;0;33;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"A Fast Similarity Search kNN for Textual Datasets.txt";1;0;0;0;0;3;0;0;0;0;0;0;0;0;2;0;7;12;44;0;0;0;2018;0;0;1;3;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"A Fast and Generic GPU-Based Parallel Reduction Implementation.txt";0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;10;0;0;0;0;0;2018;6;4;2;1;0;0;0;0;0;0;0;5;0;0;0;0;0;0;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"A GPU-FPGA-Based K-Means Clustering Using a Parameterized Code Generator.txt";0;0;0;0;0;8;0;0;0;0;0;0;0;0;1;0;7;0;0;0;0;0;2018;0;6;0;8;0;0;0;0;0;0;3;16;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"A Methodology for Optimization of Interpreters.txt";0;0;2;0;0;9;0;0;0;0;1;0;0;0;3;0;6;3;0;0;0;0;2018;0;0;0;0;0;0;0;10;0;0;0;3;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"A Parallel Approach of Simulated Annealing Using GPGPU to Solve the Quadratic Assignment Problem.txt";5;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;7;19;0;0;0;0;2018;0;0;0;2;0;0;0;0;0;0;0;15;0;0;0;2;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"An Interference-Aware Virtual Machine Placement Strategy for High Performance Computing Applications in Clouds.txt";0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;9;7;0;0;0;0;2018;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Analysis of Optimization Opportunities for Intel Xeon Phi and Intel Xeon Scalable Processors Environments of a Numerical Method for the Biphasic Flow of Fluids in Porous Media.txt";0;0;0;0;3;2;0;0;0;0;0;0;0;0;1;0;7;0;0;0;0;0;2018;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;4;0;0;3;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Analysis of Potential Online Scheduling Improvements by Real-Time Strategy Selection.txt";0;0;0;1;0;9;0;2;0;1;0;0;0;0;1;0;11;0;0;0;0;0;2018;0;0;0;1;0;0;0;0;0;0;0;6;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Assessing the Computation and Communication Overhead of Linux Containers for HPC Applications.txt";0;1;0;0;0;9;0;0;0;0;0;0;0;0;1;0;31;2;0;0;0;0;2018;1;1;0;1;0;0;0;0;0;0;0;13;0;0;0;0;1;0;18;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0
"Automatic Minimization of Execution Costs of SPITS Programs in AWS.txt";0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;11;0;0;0;0;0;2018;0;0;0;0;0;0;0;0;2;0;0;11;0;0;0;5;22;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Computational Optimization of Model BRASIL-SR.txt";0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0;0;2018;0;0;0;13;0;0;0;0;0;0;0;14;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Evaluation of Timing Side-Channel Leakage on a Multiple-Target Dynamic Binary Translator.txt";1;0;0;0;0;16;0;0;0;0;1;0;0;0;0;0;18;9;0;0;0;0;2018;0;0;0;0;0;0;0;0;0;0;0;22;0;0;0;0;0;0;4;1;8;5;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;8
"Experimentation and Analysis of Dynamic Checkpoint on Apache Hadoop with Failure Scenarios.txt";0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;4;0;0;0;0;0;2018;0;0;0;4;1;0;0;0;0;0;0;11;0;0;0;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Impact of Memory Approximation on Energy Efficiency.txt";13;0;0;0;0;4;0;0;0;0;0;0;0;0;3;0;8;0;1;0;0;0;2018;0;0;2;4;0;0;0;1;0;0;0;5;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
"Introducing Drowsy Technique to Cache Line Usage Predictors.txt";0;0;0;0;0;16;5;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;2018;0;0;10;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Load Balancing for Iterative Applications in Heterogeneous Architectures.txt";0;0;0;0;0;6;0;0;0;0;0;0;1;0;7;0;8;0;0;0;0;0;2018;0;0;0;2;0;0;0;0;0;0;0;11;0;0;0;2;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MParCO A Minimalist Parallel Framework for Combinatorial Optimization Applications.txt";0;0;0;0;0;1;0;0;0;0;0;0;0;0;23;0;11;9;0;0;0;0;2018;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MapReduce with Components for Processing Big Graphs.txt";0;0;0;0;0;4;2;0;0;0;1;0;0;0;47;0;9;5;0;0;0;0;2018;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"On the Efficiency of Transactional Code Generation A GCC Case Study.txt";1;0;0;0;0;3;0;0;1;0;0;0;0;0;0;0;8;0;0;0;0;0;2018;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;1;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Optimizing Geophysics Models Using Thread and Data Mapping.txt";0;0;0;0;0;3;0;0;0;0;0;0;0;0;1;0;6;0;0;0;0;0;2018;1;0;0;2;0;0;0;0;0;0;1;8;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"P-TWDTW Parallel Processing of Time Series Remote Sensing Images Using Manycore Architectures.txt";0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;1;0;1;0;0;0;2018;0;0;4;1;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Parallel and Distributed Processing Support for a Geospatial Data Visualization DSL.txt";0;0;0;0;0;7;0;0;1;0;0;0;0;0;0;0;21;1;0;0;0;0;2018;1;0;0;3;0;0;0;0;0;0;0;2;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Performance Evaluation to Provide StaaS to IoT Devices in Fog Computing Environment.txt";0;0;0;0;0;7;0;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0;2018;2;6;0;2;0;0;0;0;0;0;0;1;0;0;0;3;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Performance and Energy Consumption Aspects in Migrating Big Data Systems to the Cloud.txt";0;0;0;0;0;2;0;0;0;0;0;0;0;0;14;0;12;0;0;0;0;0;2018;0;0;0;1;0;0;0;0;0;0;0;8;0;0;0;6;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"Performance and Energy Efficiency Evaluation for HPC Applications in Heterogeneous Architectures.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;55;0;2;0;0;0;2018;1;1;0;18;0;0;0;0;0;0;0;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Phase Detection and Analysis among Multiple Program Inputs.txt";0;0;1;0;0;9;0;0;0;0;1;0;0;0;0;0;7;0;0;0;0;0;2018;0;0;8;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Power Consumption of Parallel Programming Interfaces in Multicore Architectures A Case Study.txt";0;0;0;0;1;2;0;0;2;0;0;0;0;0;2;0;14;1;2;0;0;0;2018;0;0;3;2;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Reducing Global Schedulers Complexity through Runtime System Decoupling.txt";0;0;0;0;0;4;0;0;1;0;0;0;0;0;0;0;15;1;0;0;0;0;2018;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;4
"SMCis Scientific Applications Monitoring Tool for HPC Environments.txt";0;0;0;0;0;2;0;0;0;0;0;0;0;0;4;0;14;0;23;0;0;0;2018;0;1;12;3;0;0;0;0;0;0;0;1;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Samsara Architecture Exploring Situation Awareness in Cloud Computing Management.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;7;0;0;0;0;1;2018;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"Simulators Usage Analysis to Estimate Power Consumption in Cloud Computing Environments.txt";0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;28;0;0;0;0;0;2018;0;2;3;2;0;0;0;1;0;0;0;16;0;0;0;28;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Towards a High-Performance RISC-V Emulator.txt";0;1;0;0;0;5;1;0;1;0;0;0;0;0;2;0;16;0;0;0;0;0;2018;0;0;5;1;0;0;0;2;0;0;0;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Transactional Boosting on Glasgow Haskell Compiler.txt";0;0;0;0;0;3;0;0;0;0;0;0;0;0;3;0;7;1;0;0;0;0;2018;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"User-Level Transaction Scheduling in Haskell.txt";3;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;2018;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;3;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Video7 An Architecture for Storage and Recovery of Streaming Audio and Video in NoSQL Database.txt";0;0;0;0;0;5;0;0;3;0;0;0;0;0;9;0;20;0;0;0;0;0;2018;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"8652-73-7048-1-10-20191108.txt";0;0;0;0;0;5;2;0;0;0;0;0;0;0;5;0;11;0;0;0;0;0;2019;0;3;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"8653-73-7049-1-10-20191108.txt";2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;4;23;0;0;0;0;2019;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;2;0;0;0;8;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2
"8654-73-7050-1-10-20191108.txt";0;1;0;0;0;3;0;0;0;0;1;0;0;0;3;0;16;0;0;0;0;0;2019;0;0;1;4;0;0;0;0;0;0;0;20;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"8655-73-7051-1-10-20191108.txt";0;0;0;0;0;3;0;0;0;0;0;0;0;0;1;0;6;1;0;0;0;0;2019;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"8656-73-7052-1-10-20191108.txt";6;0;0;0;0;13;1;0;5;0;0;0;0;0;4;0;2;0;4;0;0;0;2019;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"8657-73-7053-1-10-20191108.txt";0;0;0;0;0;7;3;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2019;14;8;2;0;0;0;5;0;0;0;0;1;0;0;0;1;1;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"8658-73-7054-1-10-20191108.txt";0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;10;0;0;0;0;0;2019;3;6;0;0;0;0;0;0;0;0;0;25;0;0;0;3;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"8659-73-7055-1-10-20191108.txt";0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;2019;0;0;0;7;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"8660-73-7056-1-10-20191108.txt";0;0;0;0;0;0;22;0;0;0;0;0;0;0;1;0;9;0;0;0;0;0;2019;0;0;0;2;0;0;0;0;0;0;0;43;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"8661-73-7057-1-10-20191108.txt";1;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;4;7;0;0;0;1;2019;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"8662-73-7058-1-10-20191108.txt";0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;6;4;0;0;0;0;2019;0;0;3;0;0;0;0;0;0;0;0;19;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"8663-73-7059-1-10-20191108.txt";0;0;0;0;0;9;0;0;0;0;0;2;0;0;2;0;10;1;0;0;0;0;2019;0;0;2;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"8664-73-7060-1-10-20191108.txt";0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;4;0;1;0;0;0;2019;0;3;0;3;0;0;0;0;0;0;1;10;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"8665-73-7061-1-10-20191108.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;6;1;0;0;0;0;2019;0;0;0;0;0;0;0;0;0;0;0;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"8666-73-7062-1-10-20191108.txt";0;0;0;0;0;3;0;0;0;0;0;0;0;0;2;0;7;0;9;0;0;0;2019;0;0;2;28;0;0;0;0;0;0;0;4;0;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"8667-73-7063-1-10-20191108.txt";0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;2019;0;0;12;8;0;0;0;0;0;0;0;16;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"8668-73-7064-1-10-20191108.txt";0;1;0;0;0;0;0;0;4;0;0;0;0;0;1;0;3;3;1;0;0;0;2019;0;0;0;2;0;0;0;0;0;0;0;10;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"8669-73-7065-1-10-20191108.txt";0;0;0;0;1;8;0;7;0;0;0;0;0;0;1;0;23;2;2;0;0;0;2019;0;0;0;0;0;0;0;0;0;0;0;1;9;0;1;1;1;0;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"8670-73-7066-1-10-20191108.txt";0;0;3;1;0;0;0;0;0;0;0;0;0;0;2;0;7;0;0;0;0;0;2019;0;0;7;4;0;0;1;0;0;0;0;7;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"8671-73-7068-1-10-20191108.txt";0;0;1;0;0;2;0;0;0;0;0;0;0;0;7;0;23;9;0;0;0;2;2019;0;0;0;0;0;0;0;0;0;0;0;17;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"8672-73-7067-1-10-20191108.txt";0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;8;22;0;0;0;0;2019;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
